__v,_id,createdAt,difficulty,marks,question,subject,topic,updatedAt
0,62474a00c0526869b8470ba2,2022-04-01T18:52:48.963Z,Hard,10,hard_1_10_marks,Physics,Waves,2022-04-01T18:52:48.963Z
0,62474a00c0526869b8470ba4,2022-04-01T18:52:48.975Z,Hard,10,hard_2_10_marks,Physics,Waves,2022-04-01T18:52:48.975Z
0,62474a00c0526869b8470ba6,2022-04-01T18:52:48.978Z,Hard,10,hard_3_10_marks,Physics,Waves,2022-04-01T18:52:48.978Z
0,62474a00c0526869b8470ba8,2022-04-01T18:52:48.980Z,Hard,10,hard_4_10_marks,Physics,Waves,2022-04-01T18:52:48.980Z
0,62474a00c0526869b8470baa,2022-04-01T18:52:48.983Z,Hard,10,hard_5_10_marks,Physics,Waves,2022-04-01T18:52:48.983Z
0,62474a00c0526869b8470bac,2022-04-01T18:52:48.987Z,Hard,10,hard_6_10_marks,Physics,Waves,2022-04-01T18:52:48.987Z
0,62474a00c0526869b8470bae,2022-04-01T18:52:48.990Z,Hard,10,hard_7_10_marks,Physics,Waves,2022-04-01T18:52:48.990Z
0,62474a00c0526869b8470bb0,2022-04-01T18:52:48.992Z,Hard,10,hard_8_10_marks,Physics,Waves,2022-04-01T18:52:48.992Z
0,62474a00c0526869b8470bb2,2022-04-01T18:52:48.994Z,Hard,10,hard_9_10_marks,Physics,Waves,2022-04-01T18:52:48.994Z
0,62474a00c0526869b8470bb4,2022-04-01T18:52:48.996Z,Hard,10,hard_10_10_marks,Physics,Waves,2022-04-01T18:52:48.996Z
0,62474a00c0526869b8470bb6,2022-04-01T18:52:48.999Z,Hard,10,hard_11_10_marks,Physics,Waves,2022-04-01T18:52:48.999Z
0,62474a01c0526869b8470bb8,2022-04-01T18:52:49.003Z,Hard,10,hard_12_10_marks,Physics,Waves,2022-04-01T18:52:49.003Z
0,62474a01c0526869b8470bba,2022-04-01T18:52:49.006Z,Hard,10,hard_13_10_marks,Physics,Waves,2022-04-01T18:52:49.006Z
0,62474a01c0526869b8470bbc,2022-04-01T18:52:49.008Z,Hard,10,hard_14_10_marks,Physics,Waves,2022-04-01T18:52:49.008Z
0,62474a01c0526869b8470bbe,2022-04-01T18:52:49.010Z,Hard,10,hard_15_10_marks,Physics,Waves,2022-04-01T18:52:49.010Z
0,62474a01c0526869b8470bc0,2022-04-01T18:52:49.012Z,Hard,10,hard_16_10_marks,Physics,Waves,2022-04-01T18:52:49.012Z
0,62474a01c0526869b8470bc2,2022-04-01T18:52:49.014Z,Hard,10,hard_17_10_marks,Physics,Waves,2022-04-01T18:52:49.014Z
0,62474a01c0526869b8470bc4,2022-04-01T18:52:49.016Z,Hard,10,hard_18_10_marks,Physics,Waves,2022-04-01T18:52:49.016Z
0,62474a01c0526869b8470bc6,2022-04-01T18:52:49.021Z,Hard,10,hard_19_10_marks,Physics,Waves,2022-04-01T18:52:49.021Z
0,62474a01c0526869b8470bc8,2022-04-01T18:52:49.023Z,Hard,10,hard_20_10_marks,Physics,Waves,2022-04-01T18:52:49.023Z
0,62474a9f27c89002502f06e8,2022-04-01T18:55:27.333Z,Hard,4,hard_1_4_marks,Physics,Waves,2022-04-01T18:55:27.333Z
0,62474a9f27c89002502f06ea,2022-04-01T18:55:27.341Z,Hard,4,hard_2_4_marks,Physics,Waves,2022-04-01T18:55:27.341Z
0,62474a9f27c89002502f06ec,2022-04-01T18:55:27.344Z,Hard,4,hard_3_4_marks,Physics,Waves,2022-04-01T18:55:27.344Z
0,62474a9f27c89002502f06ee,2022-04-01T18:55:27.346Z,Hard,4,hard_4_4_marks,Physics,Waves,2022-04-01T18:55:27.346Z
0,62474a9f27c89002502f06f0,2022-04-01T18:55:27.351Z,Hard,4,hard_5_4_marks,Physics,Waves,2022-04-01T18:55:27.351Z
0,62474a9f27c89002502f06f2,2022-04-01T18:55:27.354Z,Hard,4,hard_6_4_marks,Physics,Waves,2022-04-01T18:55:27.354Z
0,62474a9f27c89002502f06f4,2022-04-01T18:55:27.356Z,Hard,4,hard_7_4_marks,Physics,Waves,2022-04-01T18:55:27.356Z
0,62474a9f27c89002502f06f6,2022-04-01T18:55:27.360Z,Hard,4,hard_8_4_marks,Physics,Waves,2022-04-01T18:55:27.360Z
0,62474a9f27c89002502f06f8,2022-04-01T18:55:27.362Z,Hard,4,hard_9_4_marks,Physics,Waves,2022-04-01T18:55:27.362Z
0,62474a9f27c89002502f06fa,2022-04-01T18:55:27.366Z,Hard,4,hard_10_4_marks,Physics,Waves,2022-04-01T18:55:27.366Z
